strain	reference_strain	isotype	previous_names	warning_message	sequenced	source_lab	release	latitude	longitude	elevation	landscape	substrate	photo	isolated_by	sampled_by	isolation_date	isolation_date_comment	notes	city
JU1652	True	JU1652	UY1.1		False	JU	20160408	-34.8600000	-56.1900000	33.4835	Urban garden	Compost	None	None	R. Giordano	2009-01-01	None	Isolated from compost sampled in Montevideo, Uruguay	Montevideo
JU1666	True	JU1666	P09-21.1		False	JU	20170531	48.7250180	-3.9721040	1.31828	Wet shrubland	Slug	None	M.-A. Félix	M.-A. Félix	2009-07-14	None	None	Roscoff
JU3139	False	JU1666			False	JU	20170531	48.7100000	-3.8100000	28.2333	Rural garden	Rotting stem	None	M.-A. Félix	M.-A. Félix	2009-08-09		None	Saint-Jean-du-Doigt
JU1792	True	JU1792	B09.6.2		False	JU	20170531	46.6327800	1.0642890	81.8164	Forest	Rotting stem	None	M.-A. Félix	M.-A. Félix	2009-09-27	None	None	Le Blanc
JU1793	True	JU1793	None		False	JU	20170531	49.1260400	1.9511400	64.6535	Forest	Rotting stem	None	M.-A. Félix	M.-A. Félix	2009-10-10	None	None	Bréançon
JU1920	False	JU1793	S60.1.1		False	JU	20170531	49.1260400	1.9511400	64.6535	Forest	Rotting stem	None	M.-A. Félix	M.-A. Félix	2009-10-25	None	None	Bréançon
JU1922	False	JU1793	S68.1.1		False	JU	20170531	49.1260400	1.9511400	64.6535	Forest	Rotting stem	None	M.-A. Félix	M.-A. Félix	2009-10-25	None	None	Bréançon
JU1929	False	JU1793	S86.1.1		False	JU	20170531	49.1260400	1.9511400	64.6535	Forest	Rotting stem	None	M.-A. Félix	M.-A. Félix	2009-10-25	None	None	Bréançon
JU2139	False	JU1793	B11.1.1		False	JU	20170531	46.6327800	1.0642890	81.8164	Forest	Rotting nut	None	M.-A. Félix	M.-A. Félix	2011-10-23	None	None	Le Blanc
JU2604	False	JU1793	Nu1.1		False	JU	20170531	49.1647700	1.8617500	115.757	None	Rotting nut	None	M.-A. Félix	S. Marsh & M.-A. Félix	2013-11-20	None	None	Magny-en-Vexin
JU2605	False	JU1793	Nu7.1		False	JU	20170531	49.1660000	1.8600000	111.676	Rural garden	Rotting fruit	None	M.-A. Félix	S. Marsh & M.-A. Félix	2013-11-20	None	None	Magny-en-Vexin
JU1808	True	JU1808	I72.1		False	JU	20170531	48.8125700	2.3953720	32.7215	Urban garden	Snail	None	M.-A. Félix	M.-A. Félix	2009-10-14	None	None	Ivry-sur-Seine
JU1896	True	JU1896	None		False	JU	20160408	37.9997220	23.7496730	189.764	Urban garden	Rotting fruit	None	M. Barkoulas	M. Barkoulas	2010-01-02	None	Collected on 2 Jan 10 from rotten olives in Alsos Polygonou, Athens, Greece.	Athens
JU1934	True	JU1934	S106.1.1		False	JU	20170531	49.1260400	1.9511400	64.6535	Forest	Rotting stem	None	M.-A. Félix	M.-A. Félix	2009-10-25	None	None	Bréançon
JU2001	True	JU2001	None		False	JU	20160408	-21.1000000	55.5000000	2173.35	Forest	Rotting flower	None	T. Belicard	T. Belicard	2010-09-01	only month/year (September 2010) is known	Sampled in La Réunion in Sep 2010 by Tony Belicard	
JU2007	True	JU2007	None		False	JU	20160408	50.7608000	-1.3241300	5.48095	Rural garden	Rotting fruit	None	M. Barkoulas	M. Barkoulas	2010-10-16	None	Wild strain isolated by Michalis Barkoulas in Cowes, Isle of Wight, UK from rotten apples. Oct 2010	Whitwell
JU2016	True	JU2016	SF4.2		False	JU	20170531	37.7575930	-122.4631770	112.876	Urban garden	Rotting fruit	None	M.-A. Félix	C. Nelson	2010-11-01	only month/year (November 2010) is known, but we know it was late November	Isolated from rotten pumpkin sampled by Christopher Nelson in White Crane Garden, San Francisco, USA, in late November 2010	San Francisco
