strain	reference_strain	isotype	previous_names	warning_message	sequenced	source_lab	release	latitude	longitude	elevation	landscape	substrate	photo	isolated_by	sampled_by	isolation_date	isolation_date_comment	notes	city
AB1	True	AB1	None		False	CGC	20160408	-34.9300000	138.5900000	40.9623	None	Soil	None	D. Riddle & A. Bird	D. Riddle & A. Bird	1983-01-01	only year (1983) is known	Tc1 pattern VII	Adelaide
BRC20067	True	BRC20067	None		False	BRC	20160408	24.0729540	121.1697360	1999.99	None	Fruit	None	C.-Y. Kao	J. Wang	2012-01-13	None	None	
BRC20113	False	BRC20067	None		False	BRC	20170531	24.1241670	121.2830560	2810.48	None	Fruit	None	None	None	2014-05-09	None	None	
BRC20263	True	BRC20263	None		False	BRC	20170531	-33.8674861	151.2069889	19.1089	None	None	None	None	Sylvia & Volans	2014-08-04	None	None	Sydney
DR1344	False	CB4851	Bergerac BO		False	CGC	20160408	44.8500000	0.4800000	21.273	None	Soil	None	V. Nigon	V. Nigon	None	pre-1949	From the same culture as CB4851 but sent to Dougherty before 1967, then to D. Hirsch in 1977, frozen by D. Riddle	Bergerac
ECA243	True	CB4851	CB4851 (CGC)|CB4851_CGC|CB4851|N62		False	CGC	20160408	44.8500000	0.4800000	21.273	Urban garden	Soil	None	V. Nigon	V. Nigon	None	pre-1949	Isolated before 1949, kept in the laboratory of J. Brun for many years, N62 culture named and frozen by S. Brenner, same culture at RW7000. Tc1 pattern HCB.	Bergerac
RW7000	False	CB4851	None		False	CGC	20160408	44.8500000	0.4800000	21.273	Urban garden	Soil	None	V. Nigon	V. Nigon	None	pre-1949	From the same culture as CB4851 but sent to Dougherty before 1967, then to D. Hirsch in 1977, frozen by R. Waterston; RW subclone of Bergerac BO (Tc1 patternHCA)	Bergerac
CB4852	True	CB4852	N3		False	CGC	20160408	None	None	None	None	None	None	None	Unknown	None	pre-1966	Isolated by workers at Imperial College, London. Obtained by S. Brenner in 1966 and kept in liquid medium for three years before freezing	
JU1563	False	CB4852	O40.3.2		False	JU	20160408	48.7006000	2.1804000	64.0876	Rural garden	Rotting flower	None	M.-A. Félix	M.-A. Félix	2008-09-09	None	Isolated from rotting Petasites hybridus (bog rhubarb) stem/leaves, sampled in Orsay on 9 Sep 2008 ca.15:30, plated ca. 18:00, picked as adult on 11 Sep.	Orsay
CB3198	False	CB4853	PA2		False	CGC	20160408	34.1371200	-118.1253200	233.051	Urban garden	Flower	None	E. Hedgecock	E. Hedgecock	1973-01-01	only year (1973) is known	PA-2 strain, Isolated in the summer of 1973. Noted as identical to CB4853 by Hodgkin and Doniach.	Pasadena
DR1350	False	CB4853	PA2|CB3198		False	CGC	20160408	34.1371200	-118.1253200	233.051	Urban garden	Flower	None	E. Hedgecock	E. Hedgecock	1973-01-01	only year (1973) is known	PA-2 subclone, frozen by D. Riddle	Pasadena
ECA245	False	CB4853	CB4853 (CGC)|CB4853_CGC|GA12		False	CGC	20160408	34.1710000	-118.1310000	313.747	Urban garden	Vegetable	None	None	C. Johnson	1974-05-01	only month/year is known (May 1974)	Low copy Tc1; pattern III	Altadena
ECA246	True	CB4853	CB4853 (UK)|CB4853_UK|CB4853|GA12		False	CB	20160408	34.1890000	-118.1310000	407.128	Urban garden	Vegetable	None	None	C. Johnson	1974-05-01	only month/year is known (May 1974)	Low copy Tc1; pattern III	Altadena
CB3196	False	CB4854	GA13		False	CGC	20160408	None	None	None	Urban garden	Vegetable	None	C. Johnson	None	1974-05-01	only month/year is known (May 1974)	None	
CB3197	False	CB4854	GA23		False	CGC	20160408	None	None	None	Urban garden	Vegetable	None	C. Johnson	None	1974-05-01	only month/year is known (May 1974)	None	
CB4854	True	CB4854	GA9		False	CGC	20160408	34.1890000	-118.1310000	407.128	Urban garden	Vegetable	None	C. Johnson	C. Johnson	1973-12-01	only month/year is known (December 1973)	CGC says Isolated in May 1974 from vegetable garden on Garfias St, Altadena, California USA, Noted as identical to CB3198 by Hodgkin and Doniach. Hodgkin and Doniach say isolated December 1973	Altadena
ECA248	True	CB4855	CB4855 (UK)|CB4855_UK|CB4855|Cal-5|Sta-5		False	CB	20160408	37.4400000	-122.1400000	7.72475	Urban garden	Compost	None	None	T. Doniach	1982-01-01	only year (1982) is known	Low copy Tc1, pattern VI	Palo Alto
CB4856	True	CB4856	CB4856 (CGC #3)|CB4856_CGC_3|CB4856_CGC|CB4856		False	CGC	20160408	21.3300000	-157.8600000	60.4026	Rural garden	Fruit	None	L. Hollen	L. Hollen	1972-08-01	None	Isolated from an unknown Hawaiian island pineapple field	Honolulu
ECA260	False	CB4856	Kammenga CB4856		False	WN	20160408	21.3300000	-157.8600000	60.4026	Rural garden	Fruit	None	L. Hollen	L. Hollen	1972-08-01	None	Isolated from an unknown Hawaiian island pineapple field	Honolulu
CB3199	False	CB4857	PA3		False	CGC	20160408	34.1371200	-118.1253200	233.051	Urban garden	Flower	None	E. Hedgecock	None	1973-01-01	only year (1973) is known	isolated in the summer of 1973	Pasadena
DR1345	False	CB4857	None		False	CGC	20160408	34.0960000	-117.7190000	354.935	None	Rotting fungus	None	E. Hedgecock	E. Hedgecock	1972-11-01	only month/year is known (November 1972)	DRiddle subclone of Cl2a (Tc1 patternII)	Claremont
ECA249	False	CB4857	CB4857 (CGC)|CB4857_CGC|CB4857|Cl2a		False	CB	20160408	34.0960000	-117.7190000	354.935	None	Rotting fungus	None	None	E. Hedgecock	1972-11-01	only month/year is known (November 1972)	Low copy Tc1, pattern II	Claremont
ECA250	True	CB4857	CB4857 (UK)|CB4857_UK|Cl2a		False	CB	20160408	34.0960000	-117.7190000	354.935	None	Rotting fungus	None	None	E. Hedgecock	1972-11-01	only month/year is known (November 1972)	Low copy Tc1, pattern II	Claremont
AB2	False	CB4858	None		False	CGC	20160408	-34.9300000	138.5900000	40.9623	None	Soil	None	D. Riddle & A. Bird	D. Riddle & A. Bird	1983-01-01	only year (1983) is known	Sampled at the Australian Wine Institute grounds	Adelaide
AB3	False	CB4858	None		False	CGC	20160408	-34.9300000	138.5900000	40.9623	None	Soil	None	D. Riddle & A. Bird	D. Riddle & A. Bird	1983-01-01	only year (1983) is known	Sampled at the Waite Agricultural Research Institue nursery plots	Adelaide
AB4	False	CB4858	None		False	CGC	20160408	-34.9300000	138.5900000	40.9623	None	Soil	None	D. Riddle & A. Bird	D. Riddle & A. Bird	1983-01-01	only year (1983) is known	Tc1 pattern VIII	Adelaide
CX11258	False	CB4858	HEY-001		False	CX	20160408	34.1353100	-118.3058200	390.213	Urban garden	Soil	None	A. Sivasundar	A. Sivasundar	2003-09-01	exact location in park is unknown	isolated in Griffith Park	Los Angeles
CX11278	False	CB4858	HEY-009		False	CX	20160408	34.1353100	-118.3058200	390.213	Urban garden	Soil	None	A. Sivasundar	A. Sivasundar	2003-09-01	exact location in park is unknown	isolated in Griffith Park	Los Angeles
CX11305	False	CB4858	HEY-004		False	CX	20160408	34.1353100	-118.3058200	390.213	Urban garden	Soil	None	A. Sivasundar	A. Sivasundar	2003-09-01	exact location in park is unknown	isolated in Griffith Park	Los Angeles
CX11317	False	CB4858	HEY-042		False	CX	20160408	34.1353100	-118.3058200	390.213	Urban garden	Soil	None	A. Sivasundar	A. Sivasundar	2003-09-01	exact location in park is unknown	isolated in Griffith Park	Los Angeles
ECA247	False	CB4858	CB4855 (CGC)|CB4855_CGC|Cal-5|Sta-5		False	CGC	20160408	37.4300000	-122.1300000	6.15516	Urban garden	Compost	None	None	T. Doniach	1982-01-01	only year (1982) is known	Low copy Tc1, pattern VI	Palo Alto
ECA251	True	CB4858	CB4858 (CGC)|CB4858_CGC|CB4858|PA1		False	CGC	20160408	34.1000000	-118.1000000	132.132	Urban garden	Flower	None	None	E. Hedgecock	1973-06-01	only year (1973) is known; collected in the summer	this is a stock of PA1 that was sent to the Emmons lab and found to have a low Tc1copy number (as compared to CB4555).	San Gabriel
JU1960	False	CB4858	None		False	JU	20170531	34.1897300	-118.1313190	412.412	Urban garden	Compost	None	J. DeModena	J. DeModena	2009-01-01	Only year (2009) information is known.	None	Altadena
CB4932	True	CB4932	None		False	CGC	20160408	51.0200000	-3.1000000	15.5193	Rural garden	Fungus	None	P. Grewal	P. Grewal	1991-01-01	pre-1991	unique Tc1 pattern	Taunton
CX11254	True	CX11254	HEY-046		False	CX	20160408	34.1301380	-118.1148350	213.679	Botanical garden zoo	Soil	None	A. Sivasundar	A. Sivasundar	2003-09-01	exact location in garden is unknown	isolated in Huntington Gardens	Los Angeles
CX11262	True	CX11262	HEY-028		False	CX	20160408	34.1301380	-118.1148350	213.679	Botanical garden zoo	Soil	None	A. Sivasundar	A. Sivasundar	2003-09-01	exact location in garden is unknown	isolated in Huntington Gardens	San Marino
CX11294	False	CX11262	HEY-027		False	CX	20160408	34.1294600	-118.1098700	204.854	Urban garden	Soil	None	A. Sivasundar	A. Sivasundar	2003-09-01	exact location in garden is unknown	isolated in Huntington Gardens	San Marino
CX11264	True	CX11264	HEY-034		False	CX	20160408	34.1301380	-118.1148350	213.679	Botanical garden zoo	Soil	None	A. Sivasundar	A. Sivasundar	2003-09-01	exact location in garden is unknown	isolated in Huntington Gardens	San Marino
CX11271	True	CX11271	HEY-050		False	CX	20160408	34.1371200	-118.1253200	233.051	Urban garden	Soil	None	A. Sivasundar	A. Sivasundar	2003-09-01	exact location at CalTech is unknown	isolated at California Institue of Technology	Pasadena
CX11319	False	CX11271	HEY-055		False	CX	20160408	34.1371200	-118.1253200	233.051	Urban garden	Soil	None	A. Sivasundar	A. Sivasundar	2003-09-01	exact location is unknown	isolated at California Institue of Technology	Pasadena
CX11276	True	CX11276	HEY-056		False	CX	20160408	34.2011100	-118.2119800	391.093	Botanical garden zoo	Soil	None	A. Sivasundar	A. Sivasundar	2003-09-01	exact location in garden is unknown	isolated at Decanso Gardens	La Cañada Flintridge
CX11316	False	CX11276	HEY-058		False	CX	20160408	34.2011100	-118.2119800	391.093	Botanical garden zoo	Soil	None	A. Sivasundar	A. Sivasundar	2003-09-01	exact location in garden is unknown	isolated at Decanso Gardens	La Cañada Flintridge
CX11285	True	CX11285	HEY-061		False	CX	20160408	34.1433100	-118.0549600	160.956	Botanical garden zoo	Soil	None	A. Sivasundar	A. Sivasundar	2003-09-01	exact location is unknown	isolated in Los Angeles Arboretum	Arcadia
CX11321	False	CX11285	HEY-063		False	CX	20160408	34.1433100	-118.0549600	160.956	Botanical garden zoo	Soil	None	A. Sivasundar	A. Sivasundar	2003-09-01	exact location is unknown	isolated in Los Angeles Arboretum	Arcadia
CX11259	False	CX11292	HEY-013		False	CX	20160408	34.1353100	-118.3058200	390.213	Urban garden	Soil	None	A. Sivasundar	A. Sivasundar	2004-02-01	exact location in park is unknown	isolated in Griffith Park	Los Angeles
CX11292	True	CX11292	HEY-016		False	CX	20160408	34.1353100	-118.3058200	390.213	Urban garden	Soil	None	A. Sivasundar	A. Sivasundar	2004-02-01	exact location in park is unknown	isolated in Griffith Park	Los Angeles
CX11307	True	CX11307	HEY-011		False	CX	20160408	34.1294600	-118.1098700	204.854	Urban garden	Soil	None	A. Sivasundar	A. Sivasundar	2013-09-03	exact location in garden is unknown	isolated in Huntington Gardens	San Marino
CX11314	True	CX11314	HEY-036		False	CX	20160408	34.1294600	-118.1098700	204.854	Urban garden	Soil	None	A. Sivasundar	A. Sivasundar	2003-09-01	exact location in garden is unknown	isolated in Huntington Gardens	San Marino
CX11268	False	CX11315	HEY-038		False	CX	20160408	34.1301380	-118.1148350	213.679	Botanical garden zoo	Soil	None	A. Sivasundar	A. Sivasundar	2003-09-01	exact location in garden is unknown	isolated in Huntington Gardens	San Marino
CX11315	True	CX11315	HEY-039		False	CX	20160408	34.1294600	-118.1098700	204.854	Urban garden	Soil	None	A. Sivasundar	A. Sivasundar	2013-09-03	exact location in garden is unknown	isolated in Huntington Gardens	San Marino
DL200	True	DL200	None		False	DL	20160408	9.0300000	38.7400000	2442.13	Urban garden	Soil	None	D. Denver	D. Denver	2007-12-01	only year and month (Dec. 2007) are known	None	Addis Ababa
DL226	True	DL226	None		False	DL	20160408	44.5633000	-123.2821000	72.8777	Urban garden	Soil	None	C. Hilburn	C. Hilburn	2008-01-01	only year (2008) is known	None	Corvallis
DL238	True	DL238	None		False	DL	20160408	19.2200000	-155.8200000	1249.3	Forest	Leaf litter	None	J. Knapp	J. Knapp	2008-07-15	None	None	Captain Cook
ECA192	False	ECA189	None		False	ECA	20170531	19.4244440	-155.2219440	1115.36	Forest	Compost	None	R. Tanny	T. Blanche	2014-07-09	None	None	Pāhoa
ECA189	True	ECA189	None		False	ECA	20170531	19.4238890	-155.2225000	1117.42	Forest	Soil	None	R. Tanny	T. Blanche	2014-07-09	None	None	Pāhoa
ECA193	False	ECA189	None		False	ECA	20170531	19.4244440	-155.2219440	1115.36	Forest	Compost	None	R. Tanny	T. Blanche	2014-07-09	None	None	Pāhoa
ECA190	False	ECA189	None		False	ECA	20170531	19.4238890	-155.2225000	1117.42	Forest	Soil	None	R. Tanny	T. Blanche	2014-07-09	None	None	Pāhoa
ECA393	False	ECA189			False	ECA	20170531	19.4498310	-155.2354930	1135.87	Rural garden	Compost	None	R. Tanny	G. Chavez	2016-05-17	None	None	Volcano
ECA395	False	ECA189			False	ECA	20170531	19.4498310	-155.2354930	1135.87	Rural garden	Soil	None	R. Tanny	G. Chavez	2016-05-17	None	None	Volcano
ECA191	True	ECA191	None		False	ECA	20170531	19.4241670	-155.2219440	1115.48	Forest	Rotting flower	None	R. Tanny	T. Blanche	2014-07-09	None	None	Pāhoa
ECA252	True	ECA252	CB4858 (UK)|CB4858_UK		False	CB	20160408	34.1000000	-118.1000000	132.132	Urban garden	Flower	None	None	E. Hedgecock	1973-06-01	only year (1973) is known; collected in the summer	this is a stock of PA1 that was sent to the Emmons lab and found to have a low Tc1copy number (as compared to CB4555).	San Gabriel
ECA339	False	ECA252	Bergerac FR		False	JU	20170531	44.8500000	0.4800000	21.273	None	Soil	None	None	V. Nigon	None	Only year of isolation (1949) is known	Note that the GPS coordinates were obtained from the wormbase entries describing the other Bergerac strains.	Bergerac
ECA348	True	ECA348	None		False	ECA	20170531	37.7753340	-122.2538890	4.27839	Urban garden	Rotting fruit	None	K. Patel	S. Zdraljevic	2015-12-30	None	None	Alameda
ECA349	True	ECA349	None		False	ECA	20170531	32.7657580	-117.2367410	3.09132	Urban garden	Rotting nut	None	K. Patel	E. Andersen	2016-02-09			San Diego
ECA350	False	ECA349	None		False	ECA	20170531	32.7653530	-117.2354420	3.31075	Urban garden	Slug	None	K. Patel	E. Andersen	2016-02-09			San Diego
ECA36	True	ECA36	GD6		False	ECA	20160408	-36.8933330	174.7455290	45.9875	Urban garden	Leaf litter	None	K. Ly	I. Ly	2013-07-27	None	None	Auckland
ECA363	True	ECA363	None		False	ECA	20170531	20.7236110	-156.3044440	1629.51	Forest	Leaf litter	ECA363.jpg	K. Patel	C. Andersen & M. Andersen	2016-02-19	2:45 PM	5400 ft elevation	Kula
ECA369	True	ECA369	None		False	ECA	20170531	21.1755560	-157.0063890	474.841	Forest	Leaf litter	ECA369.jpg	K. Patel	C. Andersen & M. Andersen	2016-02-20	10:53 AM	1640 ft elevation	Ho'olehua
ECA372	True	ECA372	None		False	ECA	20170531	22.1216670	-159.6644440	1111.07	Forest	Leaf litter	ECA372.jpg	K. Patel	C. Andersen & M. Andersen	2016-02-27	10:58 AM	3640 ft elevation	Waimea
ECA396	True	ECA396			False	ECA	20170531	19.4498310	-155.2354930	1135.87	Rural garden	Rotting fruit	None	R. Tanny	G. Chavez	2016-05-17	None	None	Volcano
ECA397	False	ECA396			False	ECA	20170531	19.4498310	-155.2354930	1135.87	Rural garden	Rotting fruit	None	R. Tanny	G. Chavez	2016-05-17	None	None	Volcano
ECA398	False	ECA396			False	ECA	20170531	19.4498310	-155.2354930	1135.87	Rural garden	Rotting fruit	None	R. Tanny	G. Chavez	2016-05-17	None	None	Volcano
ECA399	False	ECA396			False	ECA	20170531	19.4498310	-155.2354930	1135.87	Rural garden	Rotting fruit	None	R. Tanny	G. Chavez	2016-05-17	None	None	Volcano
ED3005	True	ED3005	None		False	VX	20160408	55.9400000	-3.3600000	40.9404	Urban garden	Compost	None	A. Cutter	A. Cutter	2004-10-25	None	from a West Mains allotment public vegetable garden near Edinburgh Scotland	Ingliston
ED3021	False	ED3005	None		False	VX	20160408	55.9200000	-3.1900000	92.0138	Urban garden	Compost	None	A. Cutter	A. Cutter	2004-12-03	None	isolated from Midmar Allotment public vegetable garden (field 1 plot 39)	Edinburgh
ED3011	True	ED3011	None		False	VX	20160408	55.9200000	-3.1900000	92.0138	Urban garden	Compost	None	A. Cutter	A. Cutter	2004-11-11	None	isolated from Midmar Allotment public vegetable garden (field 1 plot 39)	Edinburgh
ED3010	False	ED3012	None		False	VX	20160408	55.9200000	-3.1900000	92.0138	Urban garden	Compost	None	A. Cutter	A. Cutter	2004-11-26	None	isolated from Midmar Allotment public vegetable garden (field 1 plot 39)	Edinburgh
ED3012	True	ED3012	None		False	VX	20160408	55.9200000	-3.1900000	92.0138	Urban garden	Compost	None	A. Cutter	A. Cutter	2004-11-26	None	isolated from Midmar Allotment public vegetable garden (field 1 plot 39)	Edinburgh
ED3014	False	ED3012	None		False	VX	20160408	55.9200000	-3.1900000	92.0138	Urban garden	Compost	None	A. Cutter	A. Cutter	2004-12-03	None	isolated from Midmar Allotment public vegetable garden	Edinburgh
ED3015	False	ED3012	None		False	VX	20160408	55.9200000	-3.1900000	92.0138	Urban garden	Compost	None	A. Cutter	A. Cutter	2004-12-03	None	isolated from Midmar Allotment public vegetable garden (field 1 plot 39)	Edinburgh
ED3023	False	ED3012	None		False	VX	20160408	55.9200000	-3.1900000	92.0138	Urban garden	Compost	None	A. Cutter	A. Cutter	2004-12-03	None	isolated from Midmar Allotment public vegetable garden (field 1 plot 39)	Edinburgh
ED3024	False	ED3012	None		False	VX	20160408	55.9200000	-3.1900000	92.0138	Urban garden	Compost	None	A. Cutter	A. Cutter	2004-12-03	None	isolated from Midmar Allotment public vegetable garden (field 2 plot 43)	Edinburgh
ED3028	False	ED3012	None		False	VX	20160408	55.9200000	-3.1900000	92.0138	Urban garden	Compost	None	A. Cutter	A. Cutter	2004-12-03	None	isolated from Midmar Allotment public vegetable garden (field 2 plot 43)	Edinburgh
ED3017	True	ED3017	None		False	VX	20160408	55.9200000	-3.1900000	92.0138	Urban garden	Compost	None	A. Cutter	A. Cutter	2004-12-03	None	isolated from Midmar Allotment public vegetable garden	Edinburgh
ED3019	False	ED3017	None		False	VX	20160408	55.9200000	-3.1900000	92.0138	Urban garden	Compost	None	A. Cutter	A. Cutter	2004-12-03	None	isolated from Midmar Allotment public vegetable garden (field 1 plot 39)	Edinburgh
ED3020	False	ED3017	None		False	VX	20160408	55.9200000	-3.1900000	92.0138	Urban garden	Compost	None	A. Cutter	A. Cutter	2004-12-03	None	isolated from Midmar Allotment public vegetable garden (field 1 plot 39)	Edinburgh
ED3040	True	ED3040	None		False	VX	20160408	-26.1666670	28.0166670	1630.49	Urban garden	Compost	None	E. Dolgin	E. Dolgin	2006-05-05	None	Isolated from compost from Jenny Pettifor's garden in the Paview neighborhood in Johannesburg, South Africa	Randburg
ED3046	True	ED3046	None		False	VX	20160408	-33.3666670	19.3166670	456.701	Urban garden	Compost	None	E. Dolgin	E. Dolgin	2006-05-05	None	Isolated from compost at a plant nursery at the Ceres Fruit Farms in the Western Cape province near Ceres	
ED3042	False	ED3048	None		False	VX	20160408	-33.3666670	19.3166670	456.701	Urban garden	Compost	None	E. Dolgin	E. Dolgin	2006-05-05	None	Isolated from compost at a plant nursery at the Ceres Fruit Farms in the Western Cape province near Ceres	
ED3048	True	ED3048	None		False	VX	20160408	-33.3666670	19.3166670	456.701	Urban garden	Compost	None	E. Dolgin	E. Dolgin	2006-04-02	None	Isolated from compost at a plant nursery at the Ceres Fruit Farms in the Western Cape province near Ceres	
